main_category,sub_category,count
Data Usage,data balance display,2
Data Usage,data plan management,6
Data Usage,usage history,1
Language,Tamil support,3
Language,multi-language support,1
Login,multi-user login,1
Login,password recovery,1
Login,remember me,2
Notifications,custom alert tones,1
Notifications,email notifications,1
Other,general feature request,1
Payment,autopay setup,1
Payment,bill reminders,1
Payment,card management,2
Payment,new payment methods,5
Payment,recurring payments,3
Support,FAQ access,1
UI/UX,dark mode,2
UI/UX,navigation improvements,8
UI/UX,simplified layout,13
UI/UX,theme customization,7
